10000;110000;
10000;110000;
10000;110000;
10000;110000;
10000;110000;
10000;110000;
10000;110000;
10000;110000;
10000;110000;
10000;110000;
10000;110000;
10000;110000;
10000;110000;
10000;110000;
10000;110000;
10000;110000;
10000;110000;
10000;110000;
10000;110000;
10000;110000;
10000;110000;
10000;110000;
10000;110000;
10000;110000;
10000;110000;
10000;110000;
10000;109903;
9900;108901;
9800;107900;
9700;106900;
9600;105900;
9500;104900;
9400;103900;
9300;102900;
9200;101900;
9100;100900;
9000;99900;
8900;98900;
8800;97907;
8700;96918;
8600;95907;
8500;94910;
8400;93900;
8300;92900;
8200;91900;
8100;90900;
8000;89900;
7900;88900;
7800;87900;
7700;86900;
7600;85900;
7753;85274;
7839;84490;
7732;83559;
7663;82566;
7552;81585;
7454;80596;
7260;79534;
7245;78603;
7199;77727;
7060;76664;
6978;75660;
6914;74672;
6765;73678;
6699;72676;
6609;71673;
6510;70678;
6496;69824;
6379;68863;
6267;67820;
6180;66634;
6071;64871;
5940;63000;
5844;61171;
5995;59616;
6036;57838;
6063;56080;
5995;54210;
5994;52415;
6000;50669;
5965;48866;
5916;47013;
5777;45021;
5793;43234;
5780;41425;
4807;39093;
4000;36678;
3900;34673;
3800;32681;
3700;30685;
3600;28689;
3500;26687;
3400;24694;
3300;22699;
3200;20700;
3100;18700;
3000;16700;
2900;14700;
