96790;236662;
84319;159119;
71613;136445;
71600;126907;
70480;124284;
60409;110675;
60403;107697;
60400;106443;
60404;105296;
59589;102823;
58662;100527;
50005;90379;
50029;88791;
50032;87831;
50022;86738;
50005;85658;
50015;84739;
50017;84305;
49932;83288;
49748;81528;
49303;80816;
49200;80578;
48811;79385;
44164;74082;
43731;73394;
43362;72654;
43063;71876;
42842;71110;
42493;70332;
42164;69427;
41817;68431;
41630;67641;
41453;67330;
41094;66436;
41006;65841;
40898;64577;
40727;63988;
40593;63341;
40134;62637;
39739;61873;
39565;61572;
39213;60925;
38315;58974;
37949;58249;
37535;57737;
37091;57073;
36802;56731;
35991;55663;
32210;51157;
31387;50003;
31162;49408;
30824;48799;
29898;47619;
29591;47070;
29090;46402;
28319;45354;
28056;45116;
27334;44204;
27121;44052;
26382;43178;
26126;42745;
26280;42794;
26124;42536;
25343;41767;
24999;41191;
24307;40514;
24278;40276;
23716;39591;
23237;39139;
22595;38463;
22083;37846;
21384;37091;
20810;36528;
20071;35674;
19415;34513;
18861;33705;
18453;33522;
17838;32425;
17326;31829;
16728;30854;
16251;30248;
15736;29640;
15123;28678;
14231;27613;
13679;26895;
13022;25836;
12411;25030;
12107;24408;
11643;23753;
11320;23169;
10910;22514;
10949;22449;
10633;21860;
10220;21220;
10070;20876;
9853;20457;
9497;19896;
8994;19194;
