100331;271380;
90265;192784;
80995;155792;
76517;139686;
72842;134911;
69806;121870;
67403;116124;
65327;111183;
63725;107818;
61604;103035;
60527;101225;
59019;96955;
57773;94242;
56647;91779;
55675;88806;
54628;87509;
53650;84981;
52804;83712;
52224;82493;
51404;80522;
50509;78756;
49944;77655;
49175;76680;
48465;74898;
47897;73910;
47432;72564;
46783;71166;
46137;70022;
45880;69490;
45231;68036;
44642;66745;
43916;65876;
43441;64632;
43042;64166;
42526;62898;
41892;61857;
41273;60921;
40970;60237;
40450;59582;
39944;58294;
39726;57764;
39059;56779;
38507;55984;
37662;54606;
37536;54162;
36802;53175;
36586;52575;
35946;51899;
35638;51314;
34941;50179;
34554;49514;
33973;48512;
33495;47855;
32474;46546;
32203;46045;
31554;45101;
31079;44376;
30484;43485;
29908;42658;
29814;42490;
28870;41400;
28130;40382;
27874;39763;
26936;38738;
26177;37844;
25648;36860;
24755;35997;
24417;35518;
23962;34782;
22977;33768;
22530;33190;
21883;32435;
21108;31450;
20407;30593;
19768;29877;
19496;29482;
18371;28346;
17610;27457;
16802;26661;
16215;25871;
15415;25117;
14594;24186;
13699;23252;
13132;22674;
12120;21600;
11353;20803;
10664;20118;
9848;19301;
8873;18320;
8090;17554;
7172;16687;
6536;16033;
5554;15130;
4666;14263;
3686;13344;
2741;12480;
1886;11709;
926;10831;
