90100;191872;
81253;156805;
76612;139881;
71686;136086;
68850;124444;
66472;118728;
63573;113022;
62039;108686;
60420;105352;
58453;102792;
56973;98375;
55819;95559;
54389;93195;
52768;90108;
52236;88425;
50696;85714;
50016;84250;
49187;82266;
48118;80878;
47271;79064;
46801;77641;
46029;76657;
44885;74537;
44291;73332;
43226;71701;
42953;70711;
42347;69663;
41635;68486;
40591;66803;
40290;66009;
39487;64890;
39088;63993;
38328;62900;
37866;61970;
37412;61186;
36552;59928;
36135;59204;
35464;58188;
34975;57284;
34433;56549;
34123;55972;
33055;54321;
32500;53497;
32239;52973;
31480;51824;
30825;51000;
30707;50667;
29947;49602;
29494;48782;
28510;47543;
28482;47226;
27257;45822;
26956;45223;
26434;44444;
25840;43646;
25153;42654;
24744;42017;
23594;40690;
23628;40439;
23070;39735;
22604;39062;
21711;37983;
21342;37356;
20927;36750;
20508;36144;
19896;35282;
18977;34121;
18358;33357;
17872;32568;
17153;31709;
16859;31258;
16231;30403;
15462;29404;
14977;28746;
14568;28228;
13812;27230;
13314;26548;
12720;25778;
12010;24872;
11375;24000;
10923;23445;
10032;22402;
9876;22068;
9117;21152;
8335;20113;
7574;19182;
7282;18807;
6690;18111;
6097;17283;
5423;16447;
4851;15711;
4265;14930;
3535;14063;
3013;13399;
2293;12516;
1615;11696;
864;10843;
